iter	F1	Logloss
0	0.7564994874	0.6653049999
1	0.767427818	0.6438000736
2	0.771866846	0.625367615
3	0.7677977375	0.6063742728
4	0.7704181778	0.5930288784
5	0.7757704051	0.5792448161
6	0.765664242	0.5673527019
7	0.7667481481	0.5574520185
8	0.7681783823	0.5481194522
9	0.7681566773	0.5405412635
10	0.7703784111	0.5339877889
11	0.7697107679	0.5283008328
12	0.7693512827	0.523294699
13	0.7694026603	0.5178389638
14	0.7695825362	0.5126567915
15	0.7700466311	0.5092998465
16	0.7701130059	0.5072517316
17	0.7695320469	0.5052465178
18	0.771109391	0.5016082756
19	0.7709655262	0.4980489074
20	0.7701272415	0.4956994394
21	0.7713280458	0.4937357358
22	0.772562677	0.4919173552
23	0.7728706526	0.4895423932
24	0.7719459079	0.4883497213
25	0.7721637786	0.4865293069
26	0.7731621037	0.484581145
27	0.7772766913	0.4827494687
28	0.7792748505	0.481070118
29	0.7801227547	0.4796333455
30	0.7805161984	0.4785542443
31	0.7808507195	0.4780097374
32	0.7821218255	0.4769766577
33	0.7820874389	0.4756249489
34	0.7821784424	0.4746522009
35	0.7820590843	0.4736207123
36	0.7815130977	0.473089608
37	0.7842925602	0.4721309592
38	0.7840190369	0.4707719996
39	0.7847100884	0.4700194757
40	0.7842279954	0.469688561
41	0.7839279048	0.4688973372
42	0.784056665	0.4681011287
43	0.7846838424	0.4678580029
44	0.7847750754	0.4672823987
45	0.7873003069	0.4665724564
46	0.7883786353	0.4655223523
47	0.7872331551	0.4654569854
48	0.7882408805	0.4645552413
49	0.7886972851	0.46437301
50	0.7902921941	0.4635154441
51	0.7893821411	0.4632131939
52	0.7885146598	0.4630248117
53	0.7906144661	0.462056308
54	0.7883067937	0.4618264468
55	0.7876181426	0.4612769004
