iter	Passed	Remaining
0	195	97490
1	230	57492
2	253	41973
3	287	35633
4	314	31087
5	346	28549
6	379	26713
7	415	25526
8	452	24659
9	491	24104
10	526	23399
11	559	22771
12	593	22237
13	652	22664
14	715	23138
15	753	22786
16	770	21893
17	795	21309
18	829	20998
19	866	20788
20	898	20494
21	930	20217
22	958	19882
23	994	19733
24	1022	19423
25	1056	19257
26	1088	19061
27	1120	18894
28	1152	18716
29	1184	18559
30	1216	18405
31	1240	18138
32	1275	18057
33	1309	17941
34	1341	17819
35	1373	17704
36	1391	17406
37	1426	17339
38	1458	17242
39	1491	17148
40	1522	17041
41	1556	16968
42	1588	16885
43	1605	16638
44	1640	16582
45	1675	16531
46	1706	16447
47	1718	16184
48	1750	16113
49	1782	16041
50	1815	15982
51	1850	15939
52	1867	15747
53	1899	15690
54	1925	15581
55	1957	15518
